,Totales Territoriales,Comunidades y Ciudades Autónomas,Provincias,Viajeros y pernoctaciones,Periodo,Total,Año,Mes
0,Total Nacional,,,Viajero,2025M04,10.018.537,2025,4
1,Total Nacional,,,Viajero,2025M03,7.680.722,2025,3
2,Total Nacional,,,Viajero,2025M02,6.539.960,2025,2
3,Total Nacional,,,Viajero,2025M01,5.776.075,2025,1
4,Total Nacional,,,Viajero,2024M12,6.553.489,2024,12
5,Total Nacional,,,Viajero,2024M11,7.171.221,2024,11
6,Total Nacional,,,Viajero,2024M10,10.774.309,2024,10
7,Total Nacional,,,Viajero,2024M09,11.821.379,2024,9
8,Total Nacional,,,Viajero,2024M08,13.586.095,2024,8
9,Total Nacional,,,Viajero,2024M07,12.703.213,2024,7
10,Total Nacional,,,Viajero,2024M06,11.905.082,2024,6
11,Total Nacional,,,Viajero,2024M05,11.776.729,2024,5
12,Total Nacional,,,Viajero,2024M04,9.386.103,2024,4
13,Total Nacional,,,Viajero,2024M03,8.433.226,2024,3
14,Total Nacional,,,Viajero,2024M02,6.512.168,2024,2
15,Total Nacional,,,Viajero,2024M01,5.660.859,2024,1
16,Total Nacional,,,Viajero,2023M12,6.586.138,2023,12
17,Total Nacional,,,Viajero,2023M11,6.798.815,2023,11
18,Total Nacional,,,Viajero,2023M10,10.390.441,2023,10
19,Total Nacional,,,Viajero,2023M09,11.627.872,2023,9
20,Total Nacional,,,Viajero,2023M08,13.266.497,2023,8
21,Total Nacional,,,Viajero,2023M07,12.680.483,2023,7
22,Total Nacional,,,Viajero,2023M06,11.535.550,2023,6
23,Total Nacional,,,Viajero,2023M05,10.580.202,2023,5
24,Total Nacional,,,Viajero,2023M04,9.829.384,2023,4
25,Total Nacional,,,Viajero,2023M03,7.361.364,2023,3
26,Total Nacional,,,Viajero,2023M02,5.967.064,2023,2
27,Total Nacional,,,Viajero,2023M01,5.367.962,2023,1
28,Total Nacional,,,Viajero,2022M12,6.054.556,2022,12
29,Total Nacional,,,Viajero,2022M11,6.284.698,2022,11
30,Total Nacional,,,Viajero,2022M10,9.743.259,2022,10
31,Total Nacional,,,Viajero,2022M09,11.050.305,2022,9
32,Total Nacional,,,Viajero,2022M08,12.889.916,2022,8
33,Total Nacional,,,Viajero,2022M07,12.292.936,2022,7
34,Total Nacional,,,Viajero,2022M06,10.990.468,2022,6
35,Total Nacional,,,Viajero,2022M05,9.920.671,2022,5
36,Total Nacional,,,Viajero,2022M04,8.689.822,2022,4
37,Total Nacional,,,Viajero,2022M03,6.061.398,2022,3
38,Total Nacional,,,Viajero,2022M02,5.133.961,2022,2
39,Total Nacional,,,Viajero,2022M01,3.770.578,2022,1
40,Total Nacional,,,Viajero,2021M12,4.881.952,2021,12
41,Total Nacional,,,Viajero,2021M11,5.391.958,2021,11
42,Total Nacional,,,Viajero,2021M10,8.131.666,2021,10
43,Total Nacional,,,Viajero,2021M09,8.256.057,2021,9
44,Total Nacional,,,Viajero,2021M08,10.408.035,2021,8
45,Total Nacional,,,Viajero,2021M07,8.544.001,2021,7
46,Total Nacional,,,Viajero,2021M06,5.676.067,2021,6
47,Total Nacional,,,Viajero,2021M05,3.404.118,2021,5
48,Total Nacional,,,Viajero,2021M04,1.955.719,2021,4
49,Total Nacional,,,Viajero,2021M03,1.770.722,2021,3
50,Total Nacional,,,Viajero,2021M02,1.179.236,2021,2
51,Total Nacional,,,Viajero,2021M01,1.124.601,2021,1
52,Total Nacional,,,Viajero,2020M12,1.417.815,2020,12
53,Total Nacional,,,Viajero,2020M11,1.184.922,2020,11
54,Total Nacional,,,Viajero,2020M10,2.406.759,2020,10
55,Total Nacional,,,Viajero,2020M09,3.513.294,2020,9
56,Total Nacional,,,Viajero,2020M08,5.924.218,2020,8
57,Total Nacional,,,Viajero,2020M07,4.407.783,2020,7
58,Total Nacional,,,Viajero,2020M06,944.923,2020,6
59,Total Nacional,,,Viajero,2020M05,98.561,2020,5
60,Total Nacional,,,Viajero,2020M04,0,2020,4
61,Total Nacional,,,Viajero,2020M03,2.656.776,2020,3
62,Total Nacional,,,Viajero,2020M02,6.456.402,2020,2
63,Total Nacional,,,Viajero,2020M01,5.577.618,2020,1
64,Total Nacional,,,Viajero,2019M12,6.240.788,2019,12
65,Total Nacional,,,Viajero,2019M11,6.693.210,2019,11
66,Total Nacional,,,Viajero,2019M10,9.772.631,2019,10
67,Total Nacional,,,Viajero,2019M09,11.038.778,2019,9
68,Total Nacional,,,Viajero,2019M08,13.028.096,2019,8
69,Total Nacional,,,Viajero,2019M07,12.124.664,2019,7
70,Total Nacional,,,Viajero,2019M06,11.371.775,2019,6
71,Total Nacional,,,Viajero,2019M05,10.509.949,2019,5
72,Total Nacional,,,Viajero,2019M04,9.138.989,2019,4
73,Total Nacional,,,Viajero,2019M03,7.534.311,2019,3
74,Total Nacional,,,Viajero,2019M02,6.011.298,2019,2
75,Total Nacional,,,Viajero,2019M01,5.251.558,2019,1
76,Total Nacional,,,Viajero,2018M12,6.071.139,2018,12
77,Total Nacional,,,Viajero,2018M11,6.485.702,2018,11
78,Total Nacional,,,Viajero,2018M10,9.666.570,2018,10
79,Total Nacional,,,Viajero,2018M09,11.000.902,2018,9
80,Total Nacional,,,Viajero,2018M08,12.500.596,2018,8
81,Total Nacional,,,Viajero,2018M07,11.707.840,2018,7
82,Total Nacional,,,Viajero,2018M06,10.846.347,2018,6
83,Total Nacional,,,Viajero,2018M05,10.040.281,2018,5
84,Total Nacional,,,Viajero,2018M04,8.499.926,2018,4
85,Total Nacional,,,Viajero,2018M03,7.532.288,2018,3
86,Total Nacional,,,Viajero,2018M02,5.826.145,2018,2
87,Total Nacional,,,Viajero,2018M01,5.133.729,2018,1
88,Total Nacional,,,Viajero,2017M12,5.805.767,2017,12
89,Total Nacional,,,Viajero,2017M11,6.068.289,2017,11
90,Total Nacional,,,Viajero,2017M10,9.458.368,2017,10
91,Total Nacional,,,Viajero,2017M09,10.933.324,2017,9
92,Total Nacional,,,Viajero,2017M08,12.338.502,2017,8
93,Total Nacional,,,Viajero,2017M07,11.910.574,2017,7
94,Total Nacional,,,Viajero,2017M06,10.640.606,2017,6
95,Total Nacional,,,Viajero,2017M05,9.844.007,2017,5
96,Total Nacional,,,Viajero,2017M04,9.209.286,2017,4
97,Total Nacional,,,Viajero,2017M03,6.921.086,2017,3
98,Total Nacional,,,Viajero,2017M02,5.689.624,2017,2
99,Total Nacional,,,Viajero,2017M01,4.984.634,2017,1
100,Total Nacional,,,Viajero,2016M12,5.540.097,2016,12
101,Total Nacional,,,Viajero,2016M11,5.786.675,2016,11
102,Total Nacional,,,Viajero,2016M10,9.274.924,2016,10
103,Total Nacional,,,Viajero,2016M09,10.486.719,2016,9
104,Total Nacional,,,Viajero,2016M08,12.187.504,2016,8
105,Total Nacional,,,Viajero,2016M07,11.605.320,2016,7
106,Total Nacional,,,Viajero,2016M06,10.180.427,2016,6
107,Total Nacional,,,Viajero,2016M05,9.569.945,2016,5
108,Total Nacional,,,Viajero,2016M04,7.735.455,2016,4
109,Total Nacional,,,Viajero,2016M03,7.221.796,2016,3
110,Total Nacional,,,Viajero,2016M02,5.561.906,2016,2
111,Total Nacional,,,Viajero,2016M01,4.689.264,2016,1
112,Total Nacional,,,Viajero,2015M12,5.318.037,2015,12
113,Total Nacional,,,Viajero,2015M11,5.509.265,2015,11
114,Total Nacional,,,Viajero,2015M10,8.685.869,2015,10
115,Total Nacional,,,Viajero,2015M09,9.766.395,2015,9
116,Total Nacional,,,Viajero,2015M08,11.747.649,2015,8
117,Total Nacional,,,Viajero,2015M07,10.616.662,2015,7
118,Total Nacional,,,Viajero,2015M06,9.481.768,2015,6
119,Total Nacional,,,Viajero,2015M05,9.087.139,2015,5
120,Total Nacional,,,Viajero,2015M04,7.668.482,2015,4
121,Total Nacional,,,Viajero,2015M03,6.146.078,2015,3
122,Total Nacional,,,Viajero,2015M02,4.937.718,2015,2
123,Total Nacional,,,Viajero,2015M01,4.251.906,2015,1
124,Total Nacional,,,Viajero,2014M12,4.998.810,2014,12
125,Total Nacional,,,Viajero,2014M11,5.144.062,2014,11
126,Total Nacional,,,Viajero,2014M10,7.988.684,2014,10
127,Total Nacional,,,Viajero,2014M09,9.342.635,2014,9
128,Total Nacional,,,Viajero,2014M08,11.228.638,2014,8
129,Total Nacional,,,Viajero,2014M07,9.885.449,2014,7
130,Total Nacional,,,Viajero,2014M06,9.038.987,2014,6
131,Total Nacional,,,Viajero,2014M05,8.518.421,2014,5
132,Total Nacional,,,Viajero,2014M04,7.301.730,2014,4
133,Total Nacional,,,Viajero,2014M03,5.770.836,2014,3
134,Total Nacional,,,Viajero,2014M02,4.657.133,2014,2
135,Total Nacional,,,Viajero,2014M01,3.939.144,2014,1
136,Total Nacional,,,Viajero,2013M12,4.659.511,2013,12
137,Total Nacional,,,Viajero,2013M11,5.112.181,2013,11
138,Total Nacional,,,Viajero,2013M10,7.468.192,2013,10
139,Total Nacional,,,Viajero,2013M09,8.886.542,2013,9
140,Total Nacional,,,Viajero,2013M08,10.715.764,2013,8
141,Total Nacional,,,Viajero,2013M07,9.644.412,2013,7
142,Total Nacional,,,Viajero,2013M06,8.725.022,2013,6
143,Total Nacional,,,Viajero,2013M05,8.113.029,2013,5
144,Total Nacional,,,Viajero,2013M04,6.283.128,2013,4
145,Total Nacional,,,Viajero,2013M03,6.171.037,2013,3
146,Total Nacional,,,Viajero,2013M02,4.347.642,2013,2
147,Total Nacional,,,Viajero,2013M01,3.694.459,2013,1
948,Total Nacional,01 Andalucía,,Viajero,2025M04,1.847.225,2025,4
949,Total Nacional,01 Andalucía,,Viajero,2025M03,1.370.955,2025,3
950,Total Nacional,01 Andalucía,,Viajero,2025M02,1.210.103,2025,2
951,Total Nacional,01 Andalucía,,Viajero,2025M01,983.971,2025,1
952,Total Nacional,01 Andalucía,,Viajero,2024M12,1.105.005,2024,12
953,Total Nacional,01 Andalucía,,Viajero,2024M11,1.278.048,2024,11
954,Total Nacional,01 Andalucía,,Viajero,2024M10,1.838.241,2024,10
955,Total Nacional,01 Andalucía,,Viajero,2024M09,2.025.863,2024,9
956,Total Nacional,01 Andalucía,,Viajero,2024M08,2.224.665,2024,8
957,Total Nacional,01 Andalucía,,Viajero,2024M07,2.004.872,2024,7
958,Total Nacional,01 Andalucía,,Viajero,2024M06,2.019.917,2024,6
959,Total Nacional,01 Andalucía,,Viajero,2024M05,2.099.691,2024,5
960,Total Nacional,01 Andalucía,,Viajero,2024M04,1.853.668,2024,4
961,Total Nacional,01 Andalucía,,Viajero,2024M03,1.595.826,2024,3
962,Total Nacional,01 Andalucía,,Viajero,2024M02,1.258.294,2024,2
963,Total Nacional,01 Andalucía,,Viajero,2024M01,1.041.007,2024,1
964,Total Nacional,01 Andalucía,,Viajero,2023M12,1.170.078,2023,12
965,Total Nacional,01 Andalucía,,Viajero,2023M11,1.239.122,2023,11
966,Total Nacional,01 Andalucía,,Viajero,2023M10,1.873.526,2023,10
967,Total Nacional,01 Andalucía,,Viajero,2023M09,2.025.500,2023,9
968,Total Nacional,01 Andalucía,,Viajero,2023M08,2.267.920,2023,8
969,Total Nacional,01 Andalucía,,Viajero,2023M07,2.114.842,2023,7
970,Total Nacional,01 Andalucía,,Viajero,2023M06,1.959.976,2023,6
971,Total Nacional,01 Andalucía,,Viajero,2023M05,1.883.648,2023,5
972,Total Nacional,01 Andalucía,,Viajero,2023M04,1.852.962,2023,4
973,Total Nacional,01 Andalucía,,Viajero,2023M03,1.418.975,2023,3
974,Total Nacional,01 Andalucía,,Viajero,2023M02,1.123.345,2023,2
975,Total Nacional,01 Andalucía,,Viajero,2023M01,954.691,2023,1
976,Total Nacional,01 Andalucía,,Viajero,2022M12,1.007.743,2022,12
977,Total Nacional,01 Andalucía,,Viajero,2022M11,1.084.818,2022,11
978,Total Nacional,01 Andalucía,,Viajero,2022M10,1.685.566,2022,10
979,Total Nacional,01 Andalucía,,Viajero,2022M09,1.980.050,2022,9
980,Total Nacional,01 Andalucía,,Viajero,2022M08,2.172.087,2022,8
981,Total Nacional,01 Andalucía,,Viajero,2022M07,2.076.997,2022,7
982,Total Nacional,01 Andalucía,,Viajero,2022M06,1.947.800,2022,6
983,Total Nacional,01 Andalucía,,Viajero,2022M05,1.833.026,2022,5
984,Total Nacional,01 Andalucía,,Viajero,2022M04,1.670.249,2022,4
985,Total Nacional,01 Andalucía,,Viajero,2022M03,1.147.658,2022,3
986,Total Nacional,01 Andalucía,,Viajero,2022M02,989.820,2022,2
987,Total Nacional,01 Andalucía,,Viajero,2022M01,694.614,2022,1
988,Total Nacional,01 Andalucía,,Viajero,2021M12,846.378,2021,12
989,Total Nacional,01 Andalucía,,Viajero,2021M11,966.910,2021,11
990,Total Nacional,01 Andalucía,,Viajero,2021M10,1.430.459,2021,10
991,Total Nacional,01 Andalucía,,Viajero,2021M09,1.579.073,2021,9
992,Total Nacional,01 Andalucía,,Viajero,2021M08,1.934.752,2021,8
993,Total Nacional,01 Andalucía,,Viajero,2021M07,1.685.423,2021,7
994,Total Nacional,01 Andalucía,,Viajero,2021M06,1.197.179,2021,6
995,Total Nacional,01 Andalucía,,Viajero,2021M05,670.345,2021,5
996,Total Nacional,01 Andalucía,,Viajero,2021M04,304.931,2021,4
997,Total Nacional,01 Andalucía,,Viajero,2021M03,279.657,2021,3
998,Total Nacional,01 Andalucía,,Viajero,2021M02,189.027,2021,2
999,Total Nacional,01 Andalucía,,Viajero,2021M01,198.498,2021,1
1000,Total Nacional,01 Andalucía,,Viajero,2020M12,219.845,2020,12
1001,Total Nacional,01 Andalucía,,Viajero,2020M11,171.612,2020,11
1002,Total Nacional,01 Andalucía,,Viajero,2020M10,494.570,2020,10
1003,Total Nacional,01 Andalucía,,Viajero,2020M09,735.322,2020,9
1004,Total Nacional,01 Andalucía,,Viajero,2020M08,1.210.492,2020,8
1005,Total Nacional,01 Andalucía,,Viajero,2020M07,919.612,2020,7
1006,Total Nacional,01 Andalucía,,Viajero,2020M06,212.684,2020,6
1007,Total Nacional,01 Andalucía,,Viajero,2020M05,14.468,2020,5
1008,Total Nacional,01 Andalucía,,Viajero,2020M04,0,2020,4
1009,Total Nacional,01 Andalucía,,Viajero,2020M03,570.044,2020,3
1010,Total Nacional,01 Andalucía,,Viajero,2020M02,1.283.985,2020,2
1011,Total Nacional,01 Andalucía,,Viajero,2020M01,1.054.676,2020,1
1012,Total Nacional,01 Andalucía,,Viajero,2019M12,1.138.668,2019,12
1013,Total Nacional,01 Andalucía,,Viajero,2019M11,1.206.770,2019,11
1014,Total Nacional,01 Andalucía,,Viajero,2019M10,1.784.641,2019,10
1015,Total Nacional,01 Andalucía,,Viajero,2019M09,2.017.526,2019,9
1016,Total Nacional,01 Andalucía,,Viajero,2019M08,2.271.277,2019,8
1017,Total Nacional,01 Andalucía,,Viajero,2019M07,2.082.413,2019,7
1018,Total Nacional,01 Andalucía,,Viajero,2019M06,2.014.675,2019,6
1019,Total Nacional,01 Andalucía,,Viajero,2019M05,1.973.786,2019,5
1020,Total Nacional,01 Andalucía,,Viajero,2019M04,1.786.426,2019,4
1021,Total Nacional,01 Andalucía,,Viajero,2019M03,1.466.711,2019,3
1022,Total Nacional,01 Andalucía,,Viajero,2019M02,1.168.473,2019,2
1023,Total Nacional,01 Andalucía,,Viajero,2019M01,958.170,2019,1
1024,Total Nacional,01 Andalucía,,Viajero,2018M12,1.070.219,2018,12
1025,Total Nacional,01 Andalucía,,Viajero,2018M11,1.155.060,2018,11
1026,Total Nacional,01 Andalucía,,Viajero,2018M10,1.744.165,2018,10
1027,Total Nacional,01 Andalucía,,Viajero,2018M09,1.940.112,2018,9
1028,Total Nacional,01 Andalucía,,Viajero,2018M08,2.171.324,2018,8
1029,Total Nacional,01 Andalucía,,Viajero,2018M07,1.954.630,2018,7
1030,Total Nacional,01 Andalucía,,Viajero,2018M06,1.895.563,2018,6
1031,Total Nacional,01 Andalucía,,Viajero,2018M05,1.825.424,2018,5
1032,Total Nacional,01 Andalucía,,Viajero,2018M04,1.659.194,2018,4
1033,Total Nacional,01 Andalucía,,Viajero,2018M03,1.395.916,2018,3
1034,Total Nacional,01 Andalucía,,Viajero,2018M02,1.113.961,2018,2
1035,Total Nacional,01 Andalucía,,Viajero,2018M01,912.840,2018,1
1036,Total Nacional,01 Andalucía,,Viajero,2017M12,1.034.110,2017,12
1037,Total Nacional,01 Andalucía,,Viajero,2017M11,1.079.041,2017,11
1038,Total Nacional,01 Andalucía,,Viajero,2017M10,1.734.324,2017,10
1039,Total Nacional,01 Andalucía,,Viajero,2017M09,1.919.699,2017,9
1040,Total Nacional,01 Andalucía,,Viajero,2017M08,2.048.680,2017,8
1041,Total Nacional,01 Andalucía,,Viajero,2017M07,1.935.158,2017,7
1042,Total Nacional,01 Andalucía,,Viajero,2017M06,1.875.440,2017,6
1043,Total Nacional,01 Andalucía,,Viajero,2017M05,1.804.719,2017,5
1044,Total Nacional,01 Andalucía,,Viajero,2017M04,1.765.905,2017,4
1045,Total Nacional,01 Andalucía,,Viajero,2017M03,1.291.347,2017,3
1046,Total Nacional,01 Andalucía,,Viajero,2017M02,1.049.004,2017,2
1047,Total Nacional,01 Andalucía,,Viajero,2017M01,892.265,2017,1
1048,Total Nacional,01 Andalucía,,Viajero,2016M12,966.347,2016,12
1049,Total Nacional,01 Andalucía,,Viajero,2016M11,1.015.790,2016,11
1050,Total Nacional,01 Andalucía,,Viajero,2016M10,1.686.180,2016,10
1051,Total Nacional,01 Andalucía,,Viajero,2016M09,1.853.000,2016,9
1052,Total Nacional,01 Andalucía,,Viajero,2016M08,2.050.220,2016,8
1053,Total Nacional,01 Andalucía,,Viajero,2016M07,1.920.141,2016,7
1054,Total Nacional,01 Andalucía,,Viajero,2016M06,1.804.761,2016,6
1055,Total Nacional,01 Andalucía,,Viajero,2016M05,1.756.979,2016,5
1056,Total Nacional,01 Andalucía,,Viajero,2016M04,1.551.147,2016,4
1057,Total Nacional,01 Andalucía,,Viajero,2016M03,1.384.743,2016,3
1058,Total Nacional,01 Andalucía,,Viajero,2016M02,1.061.237,2016,2
1059,Total Nacional,01 Andalucía,,Viajero,2016M01,818.070,2016,1
1060,Total Nacional,01 Andalucía,,Viajero,2015M12,943.558,2015,12
1061,Total Nacional,01 Andalucía,,Viajero,2015M11,966.305,2015,11
1062,Total Nacional,01 Andalucía,,Viajero,2015M10,1.565.471,2015,10
1063,Total Nacional,01 Andalucía,,Viajero,2015M09,1.776.267,2015,9
1064,Total Nacional,01 Andalucía,,Viajero,2015M08,2.002.703,2015,8
1065,Total Nacional,01 Andalucía,,Viajero,2015M07,1.776.361,2015,7
1066,Total Nacional,01 Andalucía,,Viajero,2015M06,1.716.033,2015,6
1067,Total Nacional,01 Andalucía,,Viajero,2015M05,1.672.023,2015,5
1068,Total Nacional,01 Andalucía,,Viajero,2015M04,1.467.149,2015,4
1069,Total Nacional,01 Andalucía,,Viajero,2015M03,1.127.538,2015,3
1070,Total Nacional,01 Andalucía,,Viajero,2015M02,941.567,2015,2
1071,Total Nacional,01 Andalucía,,Viajero,2015M01,730.294,2015,1
1072,Total Nacional,01 Andalucía,,Viajero,2014M12,863.937,2014,12
1073,Total Nacional,01 Andalucía,,Viajero,2014M11,866.674,2014,11
1074,Total Nacional,01 Andalucía,,Viajero,2014M10,1.431.400,2014,10
1075,Total Nacional,01 Andalucía,,Viajero,2014M09,1.689.952,2014,9
1076,Total Nacional,01 Andalucía,,Viajero,2014M08,1.936.158,2014,8
1077,Total Nacional,01 Andalucía,,Viajero,2014M07,1.618.064,2014,7
1078,Total Nacional,01 Andalucía,,Viajero,2014M06,1.595.348,2014,6
1079,Total Nacional,01 Andalucía,,Viajero,2014M05,1.602.146,2014,5
1080,Total Nacional,01 Andalucía,,Viajero,2014M04,1.449.381,2014,4
1081,Total Nacional,01 Andalucía,,Viajero,2014M03,1.024.250,2014,3
1082,Total Nacional,01 Andalucía,,Viajero,2014M02,852.020,2014,2
1083,Total Nacional,01 Andalucía,,Viajero,2014M01,659.794,2014,1
1084,Total Nacional,01 Andalucía,,Viajero,2013M12,789.852,2013,12
1085,Total Nacional,01 Andalucía,,Viajero,2013M11,853.447,2013,11
1086,Total Nacional,01 Andalucía,,Viajero,2013M10,1.322.026,2013,10
1087,Total Nacional,01 Andalucía,,Viajero,2013M09,1.615.300,2013,9
1088,Total Nacional,01 Andalucía,,Viajero,2013M08,1.841.650,2013,8
1089,Total Nacional,01 Andalucía,,Viajero,2013M07,1.623.164,2013,7
1090,Total Nacional,01 Andalucía,,Viajero,2013M06,1.537.609,2013,6
1091,Total Nacional,01 Andalucía,,Viajero,2013M05,1.526.979,2013,5
1092,Total Nacional,01 Andalucía,,Viajero,2013M04,1.278.209,2013,4
1093,Total Nacional,01 Andalucía,,Viajero,2013M03,1.141.991,2013,3
1094,Total Nacional,01 Andalucía,,Viajero,2013M02,803.034,2013,2
1095,Total Nacional,01 Andalucía,,Viajero,2013M01,610.852,2013,1
1896,Total Nacional,01 Andalucía,04 Almería,Viajero,2025M04,112.552,2025,4
1897,Total Nacional,01 Andalucía,04 Almería,Viajero,2025M03,69.431,2025,3
1898,Total Nacional,01 Andalucía,04 Almería,Viajero,2025M02,64.254,2025,2
1899,Total Nacional,01 Andalucía,04 Almería,Viajero,2025M01,36.982,2025,1
1900,Total Nacional,01 Andalucía,04 Almería,Viajero,2024M12,48.389,2024,12
1901,Total Nacional,01 Andalucía,04 Almería,Viajero,2024M11,49.231,2024,11
1902,Total Nacional,01 Andalucía,04 Almería,Viajero,2024M10,101.499,2024,10
1903,Total Nacional,01 Andalucía,04 Almería,Viajero,2024M09,180.370,2024,9
1904,Total Nacional,01 Andalucía,04 Almería,Viajero,2024M08,245.109,2024,8
1905,Total Nacional,01 Andalucía,04 Almería,Viajero,2024M07,224.136,2024,7
1906,Total Nacional,01 Andalucía,04 Almería,Viajero,2024M06,188.469,2024,6
1907,Total Nacional,01 Andalucía,04 Almería,Viajero,2024M05,145.585,2024,5
1908,Total Nacional,01 Andalucía,04 Almería,Viajero,2024M04,101.264,2024,4
1909,Total Nacional,01 Andalucía,04 Almería,Viajero,2024M03,87.953,2024,3
1910,Total Nacional,01 Andalucía,04 Almería,Viajero,2024M02,62.925,2024,2
1911,Total Nacional,01 Andalucía,04 Almería,Viajero,2024M01,36.786,2024,1
1912,Total Nacional,01 Andalucía,04 Almería,Viajero,2023M12,48.526,2023,12
1913,Total Nacional,01 Andalucía,04 Almería,Viajero,2023M11,49.020,2023,11
1914,Total Nacional,01 Andalucía,04 Almería,Viajero,2023M10,101.190,2023,10
1915,Total Nacional,01 Andalucía,04 Almería,Viajero,2023M09,178.525,2023,9
1916,Total Nacional,01 Andalucía,04 Almería,Viajero,2023M08,247.301,2023,8
1917,Total Nacional,01 Andalucía,04 Almería,Viajero,2023M07,232.234,2023,7
1918,Total Nacional,01 Andalucía,04 Almería,Viajero,2023M06,181.291,2023,6
1919,Total Nacional,01 Andalucía,04 Almería,Viajero,2023M05,121.581,2023,5
1920,Total Nacional,01 Andalucía,04 Almería,Viajero,2023M04,101.502,2023,4
1921,Total Nacional,01 Andalucía,04 Almería,Viajero,2023M03,64.775,2023,3
1922,Total Nacional,01 Andalucía,04 Almería,Viajero,2023M02,52.895,2023,2
1923,Total Nacional,01 Andalucía,04 Almería,Viajero,2023M01,40.404,2023,1
1924,Total Nacional,01 Andalucía,04 Almería,Viajero,2022M12,43.239,2022,12
1925,Total Nacional,01 Andalucía,04 Almería,Viajero,2022M11,51.315,2022,11
1926,Total Nacional,01 Andalucía,04 Almería,Viajero,2022M10,97.379,2022,10
1927,Total Nacional,01 Andalucía,04 Almería,Viajero,2022M09,177.878,2022,9
1928,Total Nacional,01 Andalucía,04 Almería,Viajero,2022M08,248.328,2022,8
1929,Total Nacional,01 Andalucía,04 Almería,Viajero,2022M07,228.909,2022,7
1930,Total Nacional,01 Andalucía,04 Almería,Viajero,2022M06,185.257,2022,6
1931,Total Nacional,01 Andalucía,04 Almería,Viajero,2022M05,118.852,2022,5
1932,Total Nacional,01 Andalucía,04 Almería,Viajero,2022M04,89.441,2022,4
1933,Total Nacional,01 Andalucía,04 Almería,Viajero,2022M03,55.785,2022,3
1934,Total Nacional,01 Andalucía,04 Almería,Viajero,2022M02,49.429,2022,2
1935,Total Nacional,01 Andalucía,04 Almería,Viajero,2022M01,31.298,2022,1
1936,Total Nacional,01 Andalucía,04 Almería,Viajero,2021M12,40.045,2021,12
1937,Total Nacional,01 Andalucía,04 Almería,Viajero,2021M11,43.218,2021,11
1938,Total Nacional,01 Andalucía,04 Almería,Viajero,2021M10,89.887,2021,10
1939,Total Nacional,01 Andalucía,04 Almería,Viajero,2021M09,159.971,2021,9
1940,Total Nacional,01 Andalucía,04 Almería,Viajero,2021M08,230.005,2021,8
1941,Total Nacional,01 Andalucía,04 Almería,Viajero,2021M07,189.514,2021,7
1942,Total Nacional,01 Andalucía,04 Almería,Viajero,2021M06,118.490,2021,6
1943,Total Nacional,01 Andalucía,04 Almería,Viajero,2021M05,43.071,2021,5
1944,Total Nacional,01 Andalucía,04 Almería,Viajero,2021M04,19.595,2021,4
1945,Total Nacional,01 Andalucía,04 Almería,Viajero,2021M03,17.400,2021,3
1946,Total Nacional,01 Andalucía,04 Almería,Viajero,2021M02,12.479,2021,2
1947,Total Nacional,01 Andalucía,04 Almería,Viajero,2021M01,12.705,2021,1
1948,Total Nacional,01 Andalucía,04 Almería,Viajero,2020M12,13.488,2020,12
1949,Total Nacional,01 Andalucía,04 Almería,Viajero,2020M11,15.850,2020,11
1950,Total Nacional,01 Andalucía,04 Almería,Viajero,2020M10,38.261,2020,10
1951,Total Nacional,01 Andalucía,04 Almería,Viajero,2020M09,76.237,2020,9
1952,Total Nacional,01 Andalucía,04 Almería,Viajero,2020M08,131.407,2020,8
1953,Total Nacional,01 Andalucía,04 Almería,Viajero,2020M07,101.478,2020,7
1954,Total Nacional,01 Andalucía,04 Almería,Viajero,2020M06,28.156,2020,6
1955,Total Nacional,01 Andalucía,04 Almería,Viajero,2020M05,1.274,2020,5
1956,Total Nacional,01 Andalucía,04 Almería,Viajero,2020M04,0,2020,4
1957,Total Nacional,01 Andalucía,04 Almería,Viajero,2020M03,32.268,2020,3
1958,Total Nacional,01 Andalucía,04 Almería,Viajero,2020M02,71.362,2020,2
1959,Total Nacional,01 Andalucía,04 Almería,Viajero,2020M01,42.401,2020,1
1960,Total Nacional,01 Andalucía,04 Almería,Viajero,2019M12,52.376,2019,12
1961,Total Nacional,01 Andalucía,04 Almería,Viajero,2019M11,60.541,2019,11
1962,Total Nacional,01 Andalucía,04 Almería,Viajero,2019M10,97.045,2019,10
1963,Total Nacional,01 Andalucía,04 Almería,Viajero,2019M09,175.490,2019,9
1964,Total Nacional,01 Andalucía,04 Almería,Viajero,2019M08,263.775,2019,8
1965,Total Nacional,01 Andalucía,04 Almería,Viajero,2019M07,234.256,2019,7
1966,Total Nacional,01 Andalucía,04 Almería,Viajero,2019M06,195.532,2019,6
1967,Total Nacional,01 Andalucía,04 Almería,Viajero,2019M05,128.109,2019,5
1968,Total Nacional,01 Andalucía,04 Almería,Viajero,2019M04,106.538,2019,4
1969,Total Nacional,01 Andalucía,04 Almería,Viajero,2019M03,80.938,2019,3
1970,Total Nacional,01 Andalucía,04 Almería,Viajero,2019M02,59.527,2019,2
1971,Total Nacional,01 Andalucía,04 Almería,Viajero,2019M01,38.783,2019,1
1972,Total Nacional,01 Andalucía,04 Almería,Viajero,2018M12,48.923,2018,12
1973,Total Nacional,01 Andalucía,04 Almería,Viajero,2018M11,60.133,2018,11
1974,Total Nacional,01 Andalucía,04 Almería,Viajero,2018M10,112.690,2018,10
