Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Periodo	Total
Total Nacional	01 Andalucía	29 Málaga	2000M01	5
Total Nacional	01 Andalucía	29 Málaga	1999M12	4,8
Total Nacional	01 Andalucía	29 Málaga	1999M11	4,8
Total Nacional	01 Andalucía	29 Málaga	1999M10	4,7
Total Nacional	01 Andalucía	29 Málaga	1999M09	5
Total Nacional	01 Andalucía	29 Málaga	1999M08	5,9
Total Nacional	01 Andalucía	29 Málaga	1999M07	5,5
Total Nacional	01 Andalucía	29 Málaga	1999M06	4,1
Total Nacional	01 Andalucía	29 Málaga	1999M05	4,1
Total Nacional	01 Andalucía	29 Málaga	1999M04	4,5
Total Nacional	01 Andalucía	29 Málaga	1999M03	4,9
Total Nacional	01 Andalucía	29 Málaga	1999M02	4,9
Total Nacional	01 Andalucía	29 Málaga	1999M01	5,5
Total Nacional	01 Andalucía	41 Sevilla	2025M03	2,13
Total Nacional	01 Andalucía	41 Sevilla	2025M02	2,04
Total Nacional	01 Andalucía	41 Sevilla	2025M01	1,94
Total Nacional	01 Andalucía	41 Sevilla	2024M12	2
Total Nacional	01 Andalucía	41 Sevilla	2024M11	2,05
Total Nacional	01 Andalucía	41 Sevilla	2024M10	2,07
Total Nacional	01 Andalucía	41 Sevilla	2024M09	2,02
Total Nacional	01 Andalucía	41 Sevilla	2024M08	2,06
Total Nacional	01 Andalucía	41 Sevilla	2024M07	1,97
Total Nacional	01 Andalucía	41 Sevilla	2024M06	1,96
Total Nacional	01 Andalucía	41 Sevilla	2024M05	2,03
Total Nacional	01 Andalucía	41 Sevilla	2024M04	2,07
Total Nacional	01 Andalucía	41 Sevilla	2024M03	2,09
Total Nacional	01 Andalucía	41 Sevilla	2024M02	2
Total Nacional	01 Andalucía	41 Sevilla	2024M01	1,98
Total Nacional	01 Andalucía	41 Sevilla	2023M12	2,01
Total Nacional	01 Andalucía	41 Sevilla	2023M11	2,02
Total Nacional	01 Andalucía	41 Sevilla	2023M10	1,98
Total Nacional	01 Andalucía	41 Sevilla	2023M09	1,98
Total Nacional	01 Andalucía	41 Sevilla	2023M08	1,99
Total Nacional	01 Andalucía	41 Sevilla	2023M07	1,87
Total Nacional	01 Andalucía	41 Sevilla	2023M06	1,9
Total Nacional	01 Andalucía	41 Sevilla	2023M05	1,96
Total Nacional	01 Andalucía	41 Sevilla	2023M04	2,07
Total Nacional	01 Andalucía	41 Sevilla	2023M03	2,04
Total Nacional	01 Andalucía	41 Sevilla	2023M02	1,96
Total Nacional	01 Andalucía	41 Sevilla	2023M01	1,97
Total Nacional	01 Andalucía	41 Sevilla	2022M12	1,99
Total Nacional	01 Andalucía	41 Sevilla	2022M11	2,06
Total Nacional	01 Andalucía	41 Sevilla	2022M10	2,01
Total Nacional	01 Andalucía	41 Sevilla	2022M09	1,96
Total Nacional	01 Andalucía	41 Sevilla	2022M08	2
Total Nacional	01 Andalucía	41 Sevilla	2022M07	1,91
Total Nacional	01 Andalucía	41 Sevilla	2022M06	1,95
Total Nacional	01 Andalucía	41 Sevilla	2022M05	2,04
Total Nacional	01 Andalucía	41 Sevilla	2022M04	2,11
Total Nacional	01 Andalucía	41 Sevilla	2022M03	2,05
Total Nacional	01 Andalucía	41 Sevilla	2022M02	1,96
Total Nacional	01 Andalucía	41 Sevilla	2022M01	1,88
Total Nacional	01 Andalucía	41 Sevilla	2021M12	2,06
Total Nacional	01 Andalucía	41 Sevilla	2021M11	2
Total Nacional	01 Andalucía	41 Sevilla	2021M10	2,08
Total Nacional	01 Andalucía	41 Sevilla	2021M09	2,01
Total Nacional	01 Andalucía	41 Sevilla	2021M08	2,04
Total Nacional	01 Andalucía	41 Sevilla	2021M07	1,81
Total Nacional	01 Andalucía	41 Sevilla	2021M06	1,86
Total Nacional	01 Andalucía	41 Sevilla	2021M05	1,71
Total Nacional	01 Andalucía	41 Sevilla	2021M04	1,55
Total Nacional	01 Andalucía	41 Sevilla	2021M03	1,57
Total Nacional	01 Andalucía	41 Sevilla	2021M02	1,6
Total Nacional	01 Andalucía	41 Sevilla	2021M01	1,7
Total Nacional	01 Andalucía	41 Sevilla	2020M12	1,5
Total Nacional	01 Andalucía	41 Sevilla	2020M11	1,7
Total Nacional	01 Andalucía	41 Sevilla	2020M10	1,84
Total Nacional	01 Andalucía	41 Sevilla	2020M09	1,74
Total Nacional	01 Andalucía	41 Sevilla	2020M08	1,9
Total Nacional	01 Andalucía	41 Sevilla	2020M07	1,79
Total Nacional	01 Andalucía	41 Sevilla	2020M06	1,75
Total Nacional	01 Andalucía	41 Sevilla	2020M05	3,16
Total Nacional	01 Andalucía	41 Sevilla	2020M04	0
Total Nacional	01 Andalucía	41 Sevilla	2020M03	2,03
Total Nacional	01 Andalucía	41 Sevilla	2020M02	1,99
Total Nacional	01 Andalucía	41 Sevilla	2020M01	1,92
Total Nacional	01 Andalucía	41 Sevilla	2019M12	1,93
Total Nacional	01 Andalucía	41 Sevilla	2019M11	1,98
Total Nacional	01 Andalucía	41 Sevilla	2019M10	1,93
Total Nacional	01 Andalucía	41 Sevilla	2019M09	1,94
Total Nacional	01 Andalucía	41 Sevilla	2019M08	2,01
Total Nacional	01 Andalucía	41 Sevilla	2019M07	2
Total Nacional	01 Andalucía	41 Sevilla	2019M06	1,98
Total Nacional	01 Andalucía	41 Sevilla	2019M05	1,99
Total Nacional	01 Andalucía	41 Sevilla	2019M04	2,11
Total Nacional	01 Andalucía	41 Sevilla	2019M03	2,03
Total Nacional	01 Andalucía	41 Sevilla	2019M02	1,93
Total Nacional	01 Andalucía	41 Sevilla	2019M01	2,04
Total Nacional	01 Andalucía	41 Sevilla	2018M12	2,03
Total Nacional	01 Andalucía	41 Sevilla	2018M11	1,98
Total Nacional	01 Andalucía	41 Sevilla	2018M10	2
Total Nacional	01 Andalucía	41 Sevilla	2018M09	2,03
Total Nacional	01 Andalucía	41 Sevilla	2018M08	1,95
Total Nacional	01 Andalucía	41 Sevilla	2018M07	1,93
Total Nacional	01 Andalucía	41 Sevilla	2018M06	1,88
Total Nacional	01 Andalucía	41 Sevilla	2018M05	1,97
Total Nacional	01 Andalucía	41 Sevilla	2018M04	1,99
Total Nacional	01 Andalucía	41 Sevilla	2018M03	2,01
Total Nacional	01 Andalucía	41 Sevilla	2018M02	1,88
Total Nacional	01 Andalucía	41 Sevilla	2018M01	1,93
Total Nacional	01 Andalucía	41 Sevilla	2017M12	2
Total Nacional	01 Andalucía	41 Sevilla	2017M11	1,94
Total Nacional	01 Andalucía	41 Sevilla	2017M10	1,95
Total Nacional	01 Andalucía	41 Sevilla	2017M09	1,93
Total Nacional	01 Andalucía	41 Sevilla	2017M08	1,96
Total Nacional	01 Andalucía	41 Sevilla	2017M07	1,92
Total Nacional	01 Andalucía	41 Sevilla	2017M06	1,78
Total Nacional	01 Andalucía	41 Sevilla	2017M05	1,95
Total Nacional	01 Andalucía	41 Sevilla	2017M04	2,03
Total Nacional	01 Andalucía	41 Sevilla	2017M03	1,89
Total Nacional	01 Andalucía	41 Sevilla	2017M02	1,83
Total Nacional	01 Andalucía	41 Sevilla	2017M01	1,82
Total Nacional	01 Andalucía	41 Sevilla	2016M12	1,98
Total Nacional	01 Andalucía	41 Sevilla	2016M11	1,88
Total Nacional	01 Andalucía	41 Sevilla	2016M10	1,94
Total Nacional	01 Andalucía	41 Sevilla	2016M09	1,95
Total Nacional	01 Andalucía	41 Sevilla	2016M08	2,02
Total Nacional	01 Andalucía	41 Sevilla	2016M07	1,95
Total Nacional	01 Andalucía	41 Sevilla	2016M06	1,81
Total Nacional	01 Andalucía	41 Sevilla	2016M05	1,84
Total Nacional	01 Andalucía	41 Sevilla	2016M04	1,86
Total Nacional	01 Andalucía	41 Sevilla	2016M03	1,96
Total Nacional	01 Andalucía	41 Sevilla	2016M02	1,83
Total Nacional	01 Andalucía	41 Sevilla	2016M01	1,84
Total Nacional	01 Andalucía	41 Sevilla	2015M12	1,96
Total Nacional	01 Andalucía	41 Sevilla	2015M11	1,9
Total Nacional	01 Andalucía	41 Sevilla	2015M10	1,92
Total Nacional	01 Andalucía	41 Sevilla	2015M09	1,96
Total Nacional	01 Andalucía	41 Sevilla	2015M08	1,99
Total Nacional	01 Andalucía	41 Sevilla	2015M07	1,94
Total Nacional	01 Andalucía	41 Sevilla	2015M06	1,85
Total Nacional	01 Andalucía	41 Sevilla	2015M05	1,89
Total Nacional	01 Andalucía	41 Sevilla	2015M04	1,94
Total Nacional	01 Andalucía	41 Sevilla	2015M03	1,88
Total Nacional	01 Andalucía	41 Sevilla	2015M02	1,78
Total Nacional	01 Andalucía	41 Sevilla	2015M01	1,85
Total Nacional	01 Andalucía	41 Sevilla	2014M12	1,82
Total Nacional	01 Andalucía	41 Sevilla	2014M11	1,9
Total Nacional	01 Andalucía	41 Sevilla	2014M10	1,89
Total Nacional	01 Andalucía	41 Sevilla	2014M09	1,85
Total Nacional	01 Andalucía	41 Sevilla	2014M08	1,92
Total Nacional	01 Andalucía	41 Sevilla	2014M07	1,88
Total Nacional	01 Andalucía	41 Sevilla	2014M06	1,85
Total Nacional	01 Andalucía	41 Sevilla	2014M05	1,82
Total Nacional	01 Andalucía	41 Sevilla	2014M04	1,9
Total Nacional	01 Andalucía	41 Sevilla	2014M03	1,83
Total Nacional	01 Andalucía	41 Sevilla	2014M02	1,72
Total Nacional	01 Andalucía	41 Sevilla	2014M01	1,79
Total Nacional	01 Andalucía	41 Sevilla	2013M12	1,8
Total Nacional	01 Andalucía	41 Sevilla	2013M11	1,91
Total Nacional	01 Andalucía	41 Sevilla	2013M10	1,86
Total Nacional	01 Andalucía	41 Sevilla	2013M09	1,87
Total Nacional	01 Andalucía	41 Sevilla	2013M08	1,93
Total Nacional	01 Andalucía	41 Sevilla	2013M07	1,79
Total Nacional	01 Andalucía	41 Sevilla	2013M06	1,83
Total Nacional	01 Andalucía	41 Sevilla	2013M05	1,89
Total Nacional	01 Andalucía	41 Sevilla	2013M04	1,87
Total Nacional	01 Andalucía	41 Sevilla	2013M03	1,86
Total Nacional	01 Andalucía	41 Sevilla	2013M02	1,75
Total Nacional	01 Andalucía	41 Sevilla	2013M01	1,82
Total Nacional	01 Andalucía	41 Sevilla	2012M12	1,85
Total Nacional	01 Andalucía	41 Sevilla	2012M11	1,85
Total Nacional	01 Andalucía	41 Sevilla	2012M10	1,89
Total Nacional	01 Andalucía	41 Sevilla	2012M09	1,86
Total Nacional	01 Andalucía	41 Sevilla	2012M08	1,89
Total Nacional	01 Andalucía	41 Sevilla	2012M07	1,8
Total Nacional	01 Andalucía	41 Sevilla	2012M06	1,8
Total Nacional	01 Andalucía	41 Sevilla	2012M05	1,85
Total Nacional	01 Andalucía	41 Sevilla	2012M04	1,98
Total Nacional	01 Andalucía	41 Sevilla	2012M03	1,83
Total Nacional	01 Andalucía	41 Sevilla	2012M02	1,74
Total Nacional	01 Andalucía	41 Sevilla	2012M01	1,83
Total Nacional	01 Andalucía	41 Sevilla	2011M12	1,87
Total Nacional	01 Andalucía	41 Sevilla	2011M11	1,86
Total Nacional	01 Andalucía	41 Sevilla	2011M10	1,9
Total Nacional	01 Andalucía	41 Sevilla	2011M09	1,84
Total Nacional	01 Andalucía	41 Sevilla	2011M08	1,81
Total Nacional	01 Andalucía	41 Sevilla	2011M07	1,78
Total Nacional	01 Andalucía	41 Sevilla	2011M06	1,83
Total Nacional	01 Andalucía	41 Sevilla	2011M05	1,89
Total Nacional	01 Andalucía	41 Sevilla	2011M04	1,9
Total Nacional	01 Andalucía	41 Sevilla	2011M03	1,89
Total Nacional	01 Andalucía	41 Sevilla	2011M02	1,7
Total Nacional	01 Andalucía	41 Sevilla	2011M01	1,86
Total Nacional	01 Andalucía	41 Sevilla	2010M12	1,83
Total Nacional	01 Andalucía	41 Sevilla	2010M11	1,86
Total Nacional	01 Andalucía	41 Sevilla	2010M10	1,89
Total Nacional	01 Andalucía	41 Sevilla	2010M09	1,83
Total Nacional	01 Andalucía	41 Sevilla	2010M08	1,81
Total Nacional	01 Andalucía	41 Sevilla	2010M07	1,75
Total Nacional	01 Andalucía	41 Sevilla	2010M06	1,78
Total Nacional	01 Andalucía	41 Sevilla	2010M05	1,83
Total Nacional	01 Andalucía	41 Sevilla	2010M04	1,91
Total Nacional	01 Andalucía	41 Sevilla	2010M03	1,78
Total Nacional	01 Andalucía	41 Sevilla	2010M02	1,77
Total Nacional	01 Andalucía	41 Sevilla	2010M01	1,83
Total Nacional	01 Andalucía	41 Sevilla	2009M12	1,8
Total Nacional	01 Andalucía	41 Sevilla	2009M11	1,87
Total Nacional	01 Andalucía	41 Sevilla	2009M10	1,83
Total Nacional	01 Andalucía	41 Sevilla	2009M09	1,8
Total Nacional	01 Andalucía	41 Sevilla	2009M08	1,88
Total Nacional	01 Andalucía	41 Sevilla	2009M07	1,8
Total Nacional	01 Andalucía	41 Sevilla	2009M06	1,81
Total Nacional	01 Andalucía	41 Sevilla	2009M05	1,84
Total Nacional	01 Andalucía	41 Sevilla	2009M04	1,91
Total Nacional	01 Andalucía	41 Sevilla	2009M03	1,8
Total Nacional	01 Andalucía	41 Sevilla	2009M02	1,73
Total Nacional	01 Andalucía	41 Sevilla	2009M01	1,9
Total Nacional	01 Andalucía	41 Sevilla	2008M12	1,81
Total Nacional	01 Andalucía	41 Sevilla	2008M11	1,78
Total Nacional	01 Andalucía	41 Sevilla	2008M10	1,84
Total Nacional	01 Andalucía	41 Sevilla	2008M09	1,81
Total Nacional	01 Andalucía	41 Sevilla	2008M08	1,93
Total Nacional	01 Andalucía	41 Sevilla	2008M07	1,86
Total Nacional	01 Andalucía	41 Sevilla	2008M06	1,8
Total Nacional	01 Andalucía	41 Sevilla	2008M05	1,83
Total Nacional	01 Andalucía	41 Sevilla	2008M04	1,97
Total Nacional	01 Andalucía	41 Sevilla	2008M03	1,91
Total Nacional	01 Andalucía	41 Sevilla	2008M02	1,77
Total Nacional	01 Andalucía	41 Sevilla	2008M01	1,77
Total Nacional	01 Andalucía	41 Sevilla	2007M12	1,87
Total Nacional	01 Andalucía	41 Sevilla	2007M11	1,79
Total Nacional	01 Andalucía	41 Sevilla	2007M10	1,84
Total Nacional	01 Andalucía	41 Sevilla	2007M09	1,86
Total Nacional	01 Andalucía	41 Sevilla	2007M08	1,89
Total Nacional	01 Andalucía	41 Sevilla	2007M07	1,82
Total Nacional	01 Andalucía	41 Sevilla	2007M06	1,76
Total Nacional	01 Andalucía	41 Sevilla	2007M05	1,79
Total Nacional	01 Andalucía	41 Sevilla	2007M04	2,02
Total Nacional	01 Andalucía	41 Sevilla	2007M03	1,83
Total Nacional	01 Andalucía	41 Sevilla	2007M02	1,81
Total Nacional	01 Andalucía	41 Sevilla	2007M01	1,84
Total Nacional	01 Andalucía	41 Sevilla	2006M12	1,88
Total Nacional	01 Andalucía	41 Sevilla	2006M11	1,86
Total Nacional	01 Andalucía	41 Sevilla	2006M10	1,89
Total Nacional	01 Andalucía	41 Sevilla	2006M09	1,84
Total Nacional	01 Andalucía	41 Sevilla	2006M08	1,91
Total Nacional	01 Andalucía	41 Sevilla	2006M07	1,85
Total Nacional	01 Andalucía	41 Sevilla	2006M06	1,82
Total Nacional	01 Andalucía	41 Sevilla	2006M05	1,86
Total Nacional	01 Andalucía	41 Sevilla	2006M04	1,99
Total Nacional	01 Andalucía	41 Sevilla	2006M03	1,81
Total Nacional	01 Andalucía	41 Sevilla	2006M02	1,84
Total Nacional	01 Andalucía	41 Sevilla	2006M01	1,83
Total Nacional	01 Andalucía	41 Sevilla	2005M12	1,87
Total Nacional	01 Andalucía	41 Sevilla	2005M11	1,84
Total Nacional	01 Andalucía	41 Sevilla	2005M10	1,9
Total Nacional	01 Andalucía	41 Sevilla	2005M09	1,83
Total Nacional	01 Andalucía	41 Sevilla	2005M08	1,92
Total Nacional	01 Andalucía	41 Sevilla	2005M07	1,83
Total Nacional	01 Andalucía	41 Sevilla	2005M06	1,81
Total Nacional	01 Andalucía	41 Sevilla	2005M05	1,93
Total Nacional	01 Andalucía	41 Sevilla	2005M04	1,92
Total Nacional	01 Andalucía	41 Sevilla	2005M03	1,99
Total Nacional	01 Andalucía	41 Sevilla	2005M02	1,77
Total Nacional	01 Andalucía	41 Sevilla	2005M01	1,85
Total Nacional	01 Andalucía	41 Sevilla	2004M12	1,99
Total Nacional	01 Andalucía	41 Sevilla	2004M11	1,86
Total Nacional	01 Andalucía	41 Sevilla	2004M10	1,89
Total Nacional	01 Andalucía	41 Sevilla	2004M09	1,89
Total Nacional	01 Andalucía	41 Sevilla	2004M08	1,86
Total Nacional	01 Andalucía	41 Sevilla	2004M07	1,87
Total Nacional	01 Andalucía	41 Sevilla	2004M06	1,82
Total Nacional	01 Andalucía	41 Sevilla	2004M05	1,89
Total Nacional	01 Andalucía	41 Sevilla	2004M04	2,12
Total Nacional	01 Andalucía	41 Sevilla	2004M03	1,87
Total Nacional	01 Andalucía	41 Sevilla	2004M02	1,92
Total Nacional	01 Andalucía	41 Sevilla	2004M01	1,91
Total Nacional	01 Andalucía	41 Sevilla	2003M12	1,84
Total Nacional	01 Andalucía	41 Sevilla	2003M11	1,86
Total Nacional	01 Andalucía	41 Sevilla	2003M10	1,88
Total Nacional	01 Andalucía	41 Sevilla	2003M09	1,86
Total Nacional	01 Andalucía	41 Sevilla	2003M08	2,01
Total Nacional	01 Andalucía	41 Sevilla	2003M07	1,8
Total Nacional	01 Andalucía	41 Sevilla	2003M06	1,85
Total Nacional	01 Andalucía	41 Sevilla	2003M05	1,97
Total Nacional	01 Andalucía	41 Sevilla	2003M04	1,96
Total Nacional	01 Andalucía	41 Sevilla	2003M03	1,8
Total Nacional	01 Andalucía	41 Sevilla	2003M02	1,78
Total Nacional	01 Andalucía	41 Sevilla	2003M01	1,88
Total Nacional	01 Andalucía	41 Sevilla	2002M12	1,86
Total Nacional	01 Andalucía	41 Sevilla	2002M11	1,95
Total Nacional	01 Andalucía	41 Sevilla	2002M10	1,83
Total Nacional	01 Andalucía	41 Sevilla	2002M09	1,96
Total Nacional	01 Andalucía	41 Sevilla	2002M08	1,88
Total Nacional	01 Andalucía	41 Sevilla	2002M07	1,81
Total Nacional	01 Andalucía	41 Sevilla	2002M06	1,93
Total Nacional	01 Andalucía	41 Sevilla	2002M05	1,99
Total Nacional	01 Andalucía	41 Sevilla	2002M04	2
Total Nacional	01 Andalucía	41 Sevilla	2002M03	2,03
Total Nacional	01 Andalucía	41 Sevilla	2002M02	1,91
Total Nacional	01 Andalucía	41 Sevilla	2002M01	1,91
Total Nacional	01 Andalucía	41 Sevilla	2001M12	1,97
Total Nacional	01 Andalucía	41 Sevilla	2001M11	1,93
Total Nacional	01 Andalucía	41 Sevilla	2001M10	1,97
Total Nacional	01 Andalucía	41 Sevilla	2001M09	1,9
Total Nacional	01 Andalucía	41 Sevilla	2001M08	1,85
Total Nacional	01 Andalucía	41 Sevilla	2001M07	1,77
Total Nacional	01 Andalucía	41 Sevilla	2001M06	1,89
Total Nacional	01 Andalucía	41 Sevilla	2001M05	1,93
Total Nacional	01 Andalucía	41 Sevilla	2001M04	2,01
Total Nacional	01 Andalucía	41 Sevilla	2001M03	1,94
Total Nacional	01 Andalucía	41 Sevilla	2001M02	1,8
Total Nacional	01 Andalucía	41 Sevilla	2001M01	1,83
Total Nacional	01 Andalucía	41 Sevilla	2000M12	1,9
Total Nacional	01 Andalucía	41 Sevilla	2000M11	1,9
Total Nacional	01 Andalucía	41 Sevilla	2000M10	2
Total Nacional	01 Andalucía	41 Sevilla	2000M09	1,8
Total Nacional	01 Andalucía	41 Sevilla	2000M08	1,9
Total Nacional	01 Andalucía	41 Sevilla	2000M07	1,8
Total Nacional	01 Andalucía	41 Sevilla	2000M06	1,8
Total Nacional	01 Andalucía	41 Sevilla	2000M05	1,9
Total Nacional	01 Andalucía	41 Sevilla	2000M04	1,9
Total Nacional	01 Andalucía	41 Sevilla	2000M03	1,9
Total Nacional	01 Andalucía	41 Sevilla	2000M02	1,8
Total Nacional	01 Andalucía	41 Sevilla	2000M01	1,9
Total Nacional	01 Andalucía	41 Sevilla	1999M12	1,9
Total Nacional	01 Andalucía	41 Sevilla	1999M11	1,8
Total Nacional	01 Andalucía	41 Sevilla	1999M10	1,9
Total Nacional	01 Andalucía	41 Sevilla	1999M09	1,9
Total Nacional	01 Andalucía	41 Sevilla	1999M08	2,3
Total Nacional	01 Andalucía	41 Sevilla	1999M07	1,8
Total Nacional	01 Andalucía	41 Sevilla	1999M06	1,7
Total Nacional	01 Andalucía	41 Sevilla	1999M05	1,9
Total Nacional	01 Andalucía	41 Sevilla	1999M04	2
Total Nacional	01 Andalucía	41 Sevilla	1999M03	1,9
Total Nacional	01 Andalucía	41 Sevilla	1999M02	1,8
Total Nacional	01 Andalucía	41 Sevilla	1999M01	1,8
Total Nacional	02 Aragón		2025M03	2,02
Total Nacional	02 Aragón		2025M02	2,04
Total Nacional	02 Aragón		2025M01	2,01
Total Nacional	02 Aragón		2024M12	1,86
Total Nacional	02 Aragón		2024M11	1,89
Total Nacional	02 Aragón		2024M10	1,86
Total Nacional	02 Aragón		2024M09	1,88
Total Nacional	02 Aragón		2024M08	2,05
Total Nacional	02 Aragón		2024M07	1,99
Total Nacional	02 Aragón		2024M06	1,83
Total Nacional	02 Aragón		2024M05	1,83
Total Nacional	02 Aragón		2024M04	1,82
Total Nacional	02 Aragón		2024M03	2,01
Total Nacional	02 Aragón		2024M02	2,07
Total Nacional	02 Aragón		2024M01	2,04
Total Nacional	02 Aragón		2023M12	1,85
Total Nacional	02 Aragón		2023M11	1,92
Total Nacional	02 Aragón		2023M10	1,94
Total Nacional	02 Aragón		2023M09	1,89
Total Nacional	02 Aragón		2023M08	2,05
Total Nacional	02 Aragón		2023M07	2,03
Total Nacional	02 Aragón		2023M06	1,93
Total Nacional	02 Aragón		2023M05	1,91
Total Nacional	02 Aragón		2023M04	1,96
Total Nacional	02 Aragón		2023M03	2,06
Total Nacional	02 Aragón		2023M02	2,18
Total Nacional	02 Aragón		2023M01	2,08
Total Nacional	02 Aragón		2022M12	1,98
Total Nacional	02 Aragón		2022M11	1,92
Total Nacional	02 Aragón		2022M10	1,97
Total Nacional	02 Aragón		2022M09	1,95
Total Nacional	02 Aragón		2022M08	2,12
Total Nacional	02 Aragón		2022M07	2,04
Total Nacional	02 Aragón		2022M06	1,92
Total Nacional	02 Aragón		2022M05	1,93
Total Nacional	02 Aragón		2022M04	1,99
Total Nacional	02 Aragón		2022M03	2,15
Total Nacional	02 Aragón		2022M02	2,13
Total Nacional	02 Aragón		2022M01	2,15
Total Nacional	02 Aragón		2021M12	2,05
Total Nacional	02 Aragón		2021M11	1,85
Total Nacional	02 Aragón		2021M10	1,93
Total Nacional	02 Aragón		2021M09	1,91
Total Nacional	02 Aragón		2021M08	2,18
Total Nacional	02 Aragón		2021M07	2,11
Total Nacional	02 Aragón		2021M06	1,86
Total Nacional	02 Aragón		2021M05	1,83
Total Nacional	02 Aragón		2021M04	1,94
Total Nacional	02 Aragón		2021M03	1,88
Total Nacional	02 Aragón		2021M02	2,04
Total Nacional	02 Aragón		2021M01	2,03
Total Nacional	02 Aragón		2020M12	1,97
Total Nacional	02 Aragón		2020M11	2,31
Total Nacional	02 Aragón		2020M10	2,03
Total Nacional	02 Aragón		2020M09	1,92
Total Nacional	02 Aragón		2020M08	2,19
Total Nacional	02 Aragón		2020M07	2,03
Total Nacional	02 Aragón		2020M06	1,97
Total Nacional	02 Aragón		2020M05	3,01
Total Nacional	02 Aragón		2020M04	0
Total Nacional	02 Aragón		2020M03	2,09
Total Nacional	02 Aragón		2020M02	2,1
Total Nacional	02 Aragón		2020M01	2,02
Total Nacional	02 Aragón		2019M12	1,97
Total Nacional	02 Aragón		2019M11	1,87
Total Nacional	02 Aragón		2019M10	1,87
Total Nacional	02 Aragón		2019M09	1,91
Total Nacional	02 Aragón		2019M08	2,1
Total Nacional	02 Aragón		2019M07	2
Total Nacional	02 Aragón		2019M06	1,86
Total Nacional	02 Aragón		2019M05	1,8
Total Nacional	02 Aragón		2019M04	1,88
Total Nacional	02 Aragón		2019M03	1,97
Total Nacional	02 Aragón		2019M02	2
Total Nacional	02 Aragón		2019M01	2,02
Total Nacional	02 Aragón		2018M12	1,92
Total Nacional	02 Aragón		2018M11	1,83
Total Nacional	02 Aragón		2018M10	1,9
Total Nacional	02 Aragón		2018M09	1,9
Total Nacional	02 Aragón		2018M08	2,08
Total Nacional	02 Aragón		2018M07	1,97
Total Nacional	02 Aragón		2018M06	1,84
Total Nacional	02 Aragón		2018M05	1,81
Total Nacional	02 Aragón		2018M04	1,87
Total Nacional	02 Aragón		2018M03	2,02
Total Nacional	02 Aragón		2018M02	2,07
Total Nacional	02 Aragón		2018M01	2,08
Total Nacional	02 Aragón		2017M12	1,94
Total Nacional	02 Aragón		2017M11	1,88
Total Nacional	02 Aragón		2017M10	1,91
Total Nacional	02 Aragón		2017M09	1,86
Total Nacional	02 Aragón		2017M08	2,08
Total Nacional	02 Aragón		2017M07	1,98
Total Nacional	02 Aragón		2017M06	1,83
Total Nacional	02 Aragón		2017M05	1,83
Total Nacional	02 Aragón		2017M04	1,94
Total Nacional	02 Aragón		2017M03	1,96
Total Nacional	02 Aragón		2017M02	2,01
Total Nacional	02 Aragón		2017M01	1,99
Total Nacional	02 Aragón		2016M12	1,88
Total Nacional	02 Aragón		2016M11	1,79
Total Nacional	02 Aragón		2016M10	1,84
Total Nacional	02 Aragón		2016M09	1,84
Total Nacional	02 Aragón		2016M08	2,11
Total Nacional	02 Aragón		2016M07	2
Total Nacional	02 Aragón		2016M06	1,82
Total Nacional	02 Aragón		2016M05	1,82
